﻿Vessel Name,Port Call Type,Port Type,Current Port,Ata/atd,Time At Port,Destination Port,Voyage Origin Port,Voyage Time Underway,Voyage Distance Travelled,Leg Start Port/anch,Leg Time Underway,Leg Distance Travelled,Load Condition,In Transit Port Calls,My Fleets
ASIA VISION,ARRIVAL,Port,KISARAZU,2019-07-23 00:44:00,-,,ASHBURTON,9d 6h 59m,3875,ASHBURTON,9d 6h 59m,3875,Laden,Not in Transit,Chevron Shipping
ASIA ENERGY,ARRIVAL,Port,DAMPIER,2019-07-18 00:44:00,-,,BORYEONG,12d 21h 12m,3780,DAMPIER ANCH,1m,0,In Ballast,Not in Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Port,BARROW ISLAND,2019-07-18 00:43:00,-,,NAGOYA,9d 29m,3705,NAGOYA,9d 29m,3705,Partially Laden,Not in Transit,Chevron Shipping
ASIA ENDEAVOUR,ARRIVAL,Port,ASHBURTON,2019-07-16 12:42:00,-,,NIIGATA,11d 10h 1m,4329,NIIGATA,11d 10h 1m,4329,Partially Laden,Not in Transit,Chevron Shipping
ASIA EXCELLENCE,ARRIVAL,Port,BARROW ISLAND,2019-07-15 10:31:00,-,,ZHOUSHAN,16d 3h 46m,4917,KAOHSIUNG ANCH,14d 3h 54m,4252,Partially Laden,Not in Transit,Chevron Shipping
ASIA ENERGY,ARRIVAL,Anchorage,DAMPIER ANCH,2019-07-15 02:11:00,-,,BORYEONG,9d 22h 39m,3754,BORYEONG,9d 22h 39m,3754,In Ballast,Not in Transit,Chevron Shipping
ASIA VENTURE,ARRIVAL,Port,TIESHAN,2019-07-14 04:33:00,-,,BARROW ISLAND,11d 3h 20m,3401,BARROW ISLAND,11d 3h 20m,3401,Laden,Not in Transit,Chevron Shipping
ASIA VISION,ARRIVAL,Port,ASHBURTON,2019-07-11 11:44:00,-,,SEMBAWANG,10d 9h 20m,2147,DAMPIER ANCH,1d 3h 2m,215,In Ballast,Not in Transit,Chevron Shipping
ASIA VISION,ARRIVAL,Anchorage,DAMPIER ANCH,2019-07-10 00:15:00,-,,SEMBAWANG,8d 21h 51m,1929,SINGAPORE ANCH,6d 23h 17m,1883,In Ballast,Not in Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Port,NAGOYA,2019-07-07 23:58:00,-,,ASHBURTON,9d 9h 45m,3944,ASHBURTON,9d 9h 45m,3944,Laden,Not in Transit,Chevron Shipping
ASIA ENERGY,ARRIVAL,Port,BORYEONG,2019-07-04 01:21:00,-,,BARROW ISLAND,9d 15h 33m,3839,BARROW ISLAND,9d 15h 33m,3839,Laden,Not in Transit,Chevron Shipping
ASIA ENDEAVOUR,ARRIVAL,Port,NIIGATA,2019-07-04 00:51:00,-,,ASHBURTON,10d 19h 17m,4573,ASHBURTON,10d 19h 17m,4573,Laden,Not in Transit,Chevron Shipping
ASIA VENTURE,ARRIVAL,Port,BARROW ISLAND,2019-07-01 22:32:00,-,,HIMEJI,15d 18h 16m,4328,BARROW ANCH,24m,4,Partially Laden,Not in Transit,Chevron Shipping
ASIA VISION,ARRIVAL,Anchorage,SINGAPORE ANCH,2019-07-01 09:15:00,-,,SEMBAWANG,6h 51m,46,SINGAPORE ANCH,2h 38m,27,In Ballast,Not in Transit,Chevron Shipping
ASIA VISION,ARRIVAL,Anchorage,SINGAPORE ANCH,2019-07-01 04:31:00,-,,SEMBAWANG,2h 7m,17,SEMBAWANG,2h 7m,17,In Ballast,Not in Transit,Chevron Shipping
ASIA EXCELLENCE,ARRIVAL,Anchorage,KAOHSIUNG ANCH,2019-07-01 01:21:00,-,,ZHOUSHAN,1d 18h 36m,664,ZHOUSHAN,1d 18h 36m,664,Partially Laden,Not in Transit,Chevron Shipping
ASIA VENTURE,ARRIVAL,Anchorage,BARROW ANCH,2019-06-29 05:38:00,-,,HIMEJI,13d 1h 22m,4314,HIMEJI,13d 1h 22m,4314,Partially Laden,Not in Transit,Chevron Shipping
ASIA EXCELLENCE,ARRIVAL,Port,ZHOUSHAN,2019-06-28 05:28:00,-,,BARROW ISLAND,9d 18h 35m,3803,BARROW ISLAND,9d 18h 35m,3803,Laden,Not in Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Port,ASHBURTON,2019-06-27 08:54:00,-,,SHANGHAI,13d 7h ,3991,DAMPIER ANCH,10h 58m,159,Partially Laden,Not in Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Anchorage,DAMPIER ANCH,2019-06-24 05:58:00,-,,SHANGHAI,10d 4h 4m,3827,SHANGHAI,10d 4h 4m,3827,Partially Laden,Not in Transit,Chevron Shipping
ASIA ENERGY,ARRIVAL,Port,BARROW ISLAND,2019-06-23 08:33:00,-,,BORYEONG,18d 6h ,4110,DAMPIER ANCH,7h 24m,81,In Ballast,Not in Transit,Chevron Shipping
ASIA ENDEAVOUR,ARRIVAL,Port,ASHBURTON,2019-06-21 12:29:00,-,,YANGKOU,33d 6h 41m,5399,SINGAPORE ANCH,18d 12h 47m,2321,Partially Laden,Not in Transit,Chevron Shipping
ASIA ENERGY,ARRIVAL,Anchorage,DAMPIER ANCH,2019-06-18 01:03:00,-,,BORYEONG,12d 22h 30m,4027,BORYEONG,12d 22h 30m,4027,In Ballast,Not in Transit,Chevron Shipping
ASIA EXCELLENCE,ARRIVAL,Port,BARROW ISLAND,2019-06-17 08:35:00,-,,NAGOYA,11d 7h 46m,3988,NAGOYA,11d 7h 46m,3988,Partially Laden,Not in Transit,Chevron Shipping
ASIA VENTURE,ARRIVAL,Port,HIMEJI,2019-06-15 04:19:00,-,,ASHBURTON,11d 20h 44m,5363,KAOHSIUNG ANCH,3d 4h 49m,1247,Laden,Not in Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Port,SHANGHAI,2019-06-13 00:02:00,-,,ASHBURTON,19d 3h 56m,5943,KAOHSIUNG ANCH,1d 18h 1m,700,Laden,Not in Transit,Chevron Shipping
ASIA VISION,ARRIVAL,Port,SEMBAWANG,2019-06-12 07:47:00,-,,SENDAI,12d 2h 37m,1751,SINGAPORE ANCH,3h ,16,In Ballast,Not in Transit,Chevron Shipping
